,customer,state,response,coverage,education,effective_to_date,employmentstatus,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,gender_f,gender_m,policy_combined,corporate_auto,personal_auto,special_auto
579,OY51402,Washington,0,Basic,High School or Below,2011-01-14,Employed,Rural,Married,Offer1,Agent,SUV,Medsize,1,0,Personal Auto_L2,0,1,0
580,UA19178,Oregon,0,Basic,Master,2011-02-10,Employed,Urban,Married,Offer2,Call Center,Four-Door Car,Small,1,0,Personal Auto_L2,0,1,0
581,PR53785,Arizona,0,Basic,High School or Below,2011-02-22,Unemployed,Suburban,Married,Offer1,Branch,Luxury Car,Small,1,0,Personal Auto_L3,0,1,0
582,RJ85627,Washington,0,Basic,Bachelor,2011-01-05,Employed,Urban,Married,Offer3,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
583,CN90378,California,0,Extended,High School or Below,2011-02-27,Employed,Rural,Married,Offer1,Agent,Four-Door Car,Large,1,0,Personal Auto_L3,0,1,0
584,KI56154,Nevada,1,Basic,High School or Below,2011-01-24,Unemployed,Suburban,Married,Offer2,Web,Sports Car,Medsize,0,1,Personal Auto_L1,0,1,0
585,UI55951,California,1,Basic,Bachelor,2011-01-13,Employed,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
586,FF28650,Oregon,0,Basic,Bachelor,2011-01-03,Retired,Suburban,Divorced,Offer2,Web,SUV,Medsize,0,1,Personal Auto_L3,0,1,0
587,FS55302,California,0,Basic,Bachelor,2011-02-17,Employed,Suburban,Married,Offer3,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
588,TN79487,California,1,Basic,Bachelor,2011-01-02,Retired,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
589,HG32616,Nevada,0,Extended,High School or Below,2011-02-25,Employed,Urban,Divorced,Offer1,Agent,Sports Car,Medsize,0,1,Personal Auto_L3,0,1,0
590,UK41984,Arizona,0,Basic,Doctor,2011-02-21,Unemployed,Suburban,Divorced,Offer1,Agent,SUV,Medsize,1,0,Personal Auto_L2,0,1,0
591,LZ52266,California,1,Extended,High School or Below,2011-02-24,Unemployed,Suburban,Married,Offer1,Agent,Four-Door Car,Large,1,0,Personal Auto_L1,0,1,0
592,PM27367,California,0,Basic,Master,2011-02-27,Employed,Rural,Single,Offer2,Branch,Two-Door Car,Medsize,1,0,Special Auto_L3,0,0,1
593,ZK21724,Oregon,0,Basic,High School or Below,2011-02-10,Unemployed,Suburban,Single,Offer3,Call Center,SUV,Large,1,0,Personal Auto_L1,0,1,0
594,QV59143,Washington,0,Premium,High School or Below,2011-02-02,Unemployed,Suburban,Married,Offer1,Web,Four-Door Car,Large,1,0,Special Auto_L2,0,0,1
595,QE22757,Nevada,1,Basic,Doctor,2011-01-29,Employed,Rural,Divorced,Offer1,Agent,Four-Door Car,Large,0,1,Personal Auto_L3,0,1,0
596,ON77649,Oregon,0,Basic,College,2011-01-29,Employed,Urban,Married,Offer2,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
597,RN82884,Arizona,1,Basic,College,2011-02-26,Employed,Rural,Married,Offer1,Agent,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
598,CQ75652,Oregon,0,Premium,College,2011-01-08,Unemployed,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
599,FF58467,Arizona,0,Basic,Master,2011-02-05,Employed,Rural,Divorced,Offer3,Call Center,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
600,BS83666,Oregon,0,Basic,Bachelor,2011-02-13,Employed,Rural,Divorced,Offer1,Agent,Four-Door Car,Large,0,1,Corporate Auto_L3,1,0,0
601,WO29605,Oregon,0,Basic,College,2011-02-25,Employed,Rural,Married,Offer1,Call Center,Two-Door Car,Small,1,0,Personal Auto_L1,0,1,0
602,TL77607,California,0,Basic,Bachelor,2011-02-05,Employed,Urban,Married,Offer3,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
603,EZ50606,Oregon,0,Basic,High School or Below,2011-02-14,Unemployed,Suburban,Married,Offer4,Web,SUV,Medsize,1,0,Corporate Auto_L3,1,0,0
604,OS39723,Oregon,0,Basic,Doctor,2011-01-23,Employed,Suburban,Married,Offer3,Call Center,Two-Door Car,Small,1,0,Personal Auto_L3,0,1,0
605,FN69743,California,1,Basic,College,2011-01-01,Retired,Suburban,Married,Offer2,Agent,Two-Door Car,Medsize,0,1,Corporate Auto_L1,1,0,0
606,XW96958,Nevada,0,Premium,High School or Below,2011-02-20,Unemployed,Suburban,Single,Offer1,Agent,Four-Door Car,Large,0,1,Corporate Auto_L3,1,0,0
607,TU92578,California,0,Extended,College,2011-01-29,Employed,Suburban,Married,Offer1,Agent,SUV,Medsize,0,1,Personal Auto_L1,0,1,0
608,IJ50779,Washington,1,Basic,High School or Below,2011-02-20,Medical Leave,Suburban,Single,Offer1,Call Center,SUV,Medsize,0,1,Personal Auto_L3,0,1,0
609,YE68736,California,0,Premium,Bachelor,2011-02-07,Employed,Suburban,Married,Offer1,Call Center,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
610,OB96537,Oregon,0,Basic,Master,2011-02-22,Employed,Suburban,Divorced,Offer1,Web,Four-Door Car,Medsize,0,1,Special Auto_L2,0,0,1
611,EU68825,Oregon,0,Basic,Master,2011-01-02,Employed,Rural,Married,Offer4,Agent,Sports Car,Small,1,0,Personal Auto_L3,0,1,0
612,CC31456,Arizona,0,Extended,Bachelor,2011-01-05,Employed,Rural,Married,Offer2,Web,Four-Door Car,Medsize,0,1,Special Auto_L2,0,0,1
613,DJ77787,Arizona,0,Basic,High School or Below,2011-01-07,Unemployed,Suburban,Married,Offer3,Call Center,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
614,LN26837,California,1,Basic,High School or Below,2011-01-02,Employed,Suburban,Married,Offer2,Call Center,Four-Door Car,Small,0,1,Personal Auto_L2,0,1,0
615,YI92916,Nevada,0,Premium,Master,2011-01-17,Employed,Urban,Married,Offer2,Call Center,Four-Door Car,Small,0,1,Corporate Auto_L3,1,0,0
616,NW54906,Oregon,1,Basic,College,2011-01-21,Employed,Suburban,Married,Offer2,Branch,SUV,Small,0,1,Personal Auto_L3,0,1,0
617,ME77513,Nevada,0,Premium,Master,2011-02-22,Employed,Urban,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
618,UK76891,California,0,Basic,College,2011-02-04,Employed,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
619,SI26888,Nevada,0,Basic,High School or Below,2011-02-07,Unemployed,Suburban,Single,Offer1,Web,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
620,YD74948,Oregon,1,Basic,College,2011-01-20,Employed,Urban,Married,Offer2,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
621,CA86085,Washington,0,Basic,High School or Below,2011-02-22,Employed,Suburban,Single,Offer2,Branch,Four-Door Car,Large,0,1,Personal Auto_L3,0,1,0
622,BW52697,California,0,Basic,College,2011-01-01,Employed,Urban,Married,Offer2,Call Center,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
623,NL41409,Oregon,0,Basic,Bachelor,2011-02-14,Employed,Suburban,Married,Offer2,Web,Two-Door Car,Large,1,0,Personal Auto_L3,0,1,0
624,OD69005,Arizona,0,Extended,High School or Below,2011-01-28,Employed,Rural,Married,Offer3,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
625,ZZ91716,California,0,Extended,Bachelor,2011-01-22,Unemployed,Suburban,Married,Offer2,Web,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0
626,UK70255,California,0,Extended,College,2011-01-30,Employed,Rural,Single,Offer4,Web,Sports Car,Medsize,1,0,Personal Auto_L3,0,1,0
627,QT25383,Nevada,0,Extended,High School or Below,2011-01-18,Employed,Suburban,Single,Offer1,Branch,Two-Door Car,Small,0,1,Personal Auto_L3,0,1,0
628,AW18068,Arizona,0,Extended,High School or Below,2011-02-22,Unemployed,Suburban,Single,Offer1,Agent,Two-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
629,NS45347,Oregon,0,Basic,College,2011-01-03,Medical Leave,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
630,FV19421,California,0,Basic,Bachelor,2011-01-10,Unemployed,Urban,Married,Offer1,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
631,XW89091,California,1,Basic,College,2011-01-28,Employed,Rural,Married,Offer1,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
632,YC11951,Oregon,1,Extended,High School or Below,2011-02-20,Employed,Rural,Divorced,Offer1,Agent,Four-Door Car,Medsize,0,1,Corporate Auto_L2,1,0,0
633,UY18770,California,1,Premium,Bachelor,2011-01-05,Retired,Suburban,Married,Offer1,Agent,Luxury SUV,Medsize,1,0,Personal Auto_L3,0,1,0
634,RA49085,California,0,Basic,College,2011-02-28,Employed,Rural,Married,Offer4,Branch,Four-Door Car,Large,1,0,Corporate Auto_L3,1,0,0
635,BG84194,Oregon,0,Basic,College,2011-02-18,Employed,Rural,Married,Offer2,Branch,SUV,Medsize,0,1,Special Auto_L3,0,0,1
636,GM62071,Washington,0,Basic,High School or Below,2011-01-07,Employed,Suburban,Married,Offer2,Call Center,Luxury Car,Large,1,0,Personal Auto_L3,0,1,0
637,MR67738,Oregon,0,Basic,High School or Below,2011-02-04,Employed,Suburban,Married,Offer2,Branch,Four-Door Car,Small,1,0,Personal Auto_L1,0,1,0
638,DM95829,California,0,Basic,College,2011-02-24,Medical Leave,Suburban,Married,Offer4,Call Center,Two-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
639,DB75522,California,0,Extended,College,2011-02-26,Employed,Suburban,Married,Offer2,Branch,Four-Door Car,Small,1,0,Special Auto_L2,0,0,1
640,RZ27571,Washington,0,Basic,Bachelor,2011-02-13,Employed,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
641,WW30771,Arizona,0,Basic,Master,2011-02-13,Employed,Suburban,Married,Offer4,Branch,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0
642,QP65569,Arizona,1,Premium,High School or Below,2011-02-27,Employed,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
643,TN50051,California,0,Basic,Doctor,2011-02-06,Employed,Urban,Divorced,Offer3,Web,Two-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0
644,GT62080,Washington,0,Basic,High School or Below,2011-01-29,Employed,Urban,Divorced,Offer1,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
645,JA41698,Nevada,0,Basic,Bachelor,2011-01-19,Unemployed,Suburban,Single,Offer2,Call Center,SUV,Medsize,0,1,Corporate Auto_L2,1,0,0
646,NX18774,Oregon,0,Basic,Bachelor,2011-01-03,Employed,Suburban,Divorced,Offer1,Call Center,SUV,Medsize,0,1,Corporate Auto_L3,1,0,0
647,DA69469,Oregon,0,Extended,College,2011-01-16,Employed,Rural,Married,Offer2,Branch,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
648,CN23147,Oregon,0,Premium,Bachelor,2011-02-27,Employed,Suburban,Married,Offer1,Branch,Four-Door Car,Medsize,0,1,Corporate Auto_L3,1,0,0
649,RA68844,Oregon,0,Extended,College,2011-01-24,Unemployed,Suburban,Single,Offer2,Web,SUV,Small,0,1,Personal Auto_L2,0,1,0
650,GH42026,Oregon,0,Basic,Bachelor,2011-02-22,Employed,Rural,Single,Offer3,Branch,SUV,Medsize,0,1,Personal Auto_L3,0,1,0
651,BD16530,Arizona,0,Basic,Bachelor,2011-01-09,Employed,Urban,Divorced,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0
652,JH91579,Oregon,1,Extended,Bachelor,2011-01-27,Unemployed,Suburban,Divorced,Offer1,Call Center,Two-Door Car,Large,1,0,Personal Auto_L2,0,1,0
653,WK23685,Oregon,0,Extended,Bachelor,2011-01-06,Employed,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Corporate Auto_L2,1,0,0
654,ZJ18419,Washington,0,Extended,College,2011-02-28,Unemployed,Suburban,Married,Offer1,Branch,Four-Door Car,Small,1,0,Personal Auto_L1,0,1,0
655,PI78084,Arizona,0,Basic,High School or Below,2011-01-09,Unemployed,Suburban,Single,Offer2,Call Center,Two-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
656,ZF40671,Washington,0,Premium,Master,2011-02-09,Medical Leave,Urban,Married,Offer2,Call Center,Two-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
657,UG34438,Washington,0,Extended,College,2011-01-16,Employed,Rural,Married,Offer1,Branch,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
658,UK25655,Oregon,0,Extended,Bachelor,2011-01-14,Employed,Rural,Married,Offer2,Call Center,Two-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
659,QR45101,Oregon,0,Basic,Bachelor,2011-02-26,Unemployed,Suburban,Married,Offer1,Branch,Two-Door Car,Medsize,0,1,Corporate Auto_L3,1,0,0
660,EL93539,California,1,Basic,Master,2011-01-31,Employed,Rural,Divorced,Offer2,Branch,Four-Door Car,Small,0,1,Special Auto_L3,0,0,1
661,DG80424,Washington,0,Basic,College,2011-01-24,Employed,Urban,Married,Offer2,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
662,DP46882,California,1,Extended,High School or Below,2011-01-20,Retired,Suburban,Married,Offer2,Agent,Four-Door Car,Large,1,0,Corporate Auto_L2,1,0,0
663,WP41146,California,0,Basic,High School or Below,2011-01-01,Unemployed,Suburban,Married,Offer1,Branch,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
664,TK60799,Arizona,0,Basic,High School or Below,2011-01-08,Employed,Rural,Married,Offer2,Agent,SUV,Small,1,0,Personal Auto_L3,0,1,0
665,DN29808,California,0,Basic,College,2011-02-03,Employed,Suburban,Married,Offer2,Agent,Four-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
666,SS59521,Oregon,0,Basic,College,2011-01-02,Unemployed,Suburban,Married,Offer3,Agent,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
667,NG66579,Oregon,0,Basic,Bachelor,2011-01-06,Employed,Urban,Married,Offer2,Web,Two-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
668,TC14209,Arizona,0,Extended,High School or Below,2011-01-15,Unemployed,Suburban,Single,Offer1,Agent,SUV,Medsize,1,0,Personal Auto_L2,0,1,0
669,ED50963,California,0,Basic,High School or Below,2011-01-29,Employed,Suburban,Married,Offer3,Branch,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0
670,GP40701,California,0,Basic,Bachelor,2011-02-14,Employed,Suburban,Married,Offer2,Web,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
671,CP98451,Oregon,0,Basic,College,2011-01-02,Employed,Urban,Married,Offer1,Agent,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
672,NX52648,California,0,Extended,High School or Below,2011-01-02,Employed,Suburban,Married,Offer1,Branch,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
673,ZC32510,Arizona,0,Premium,High School or Below,2011-02-22,Employed,Suburban,Married,Offer3,Branch,Four-Door Car,Small,0,1,Personal Auto_L1,0,1,0
674,NG27780,Oregon,0,Basic,College,2011-01-15,Unemployed,Rural,Married,Offer2,Agent,Four-Door Car,Medsize,0,1,Corporate Auto_L1,1,0,0
675,HN95240,Arizona,0,Basic,College,2011-02-14,Unemployed,Suburban,Divorced,Offer1,Agent,Four-Door Car,Small,1,0,Corporate Auto_L1,1,0,0
676,EB59129,Oregon,0,Basic,Bachelor,2011-02-18,Employed,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
677,RA70851,Oregon,0,Extended,High School or Below,2011-01-12,Employed,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
678,PM19162,Oregon,0,Basic,Bachelor,2011-01-16,Employed,Suburban,Divorced,Offer2,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
679,MS59005,Nevada,0,Extended,Bachelor,2011-01-23,Employed,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
680,SU71163,Arizona,0,Basic,College,2011-01-07,Employed,Suburban,Married,Offer2,Branch,Two-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
681,BD35676,Arizona,0,Extended,Master,2011-01-04,Employed,Urban,Single,Offer2,Branch,SUV,Medsize,0,1,Personal Auto_L1,0,1,0
682,NI44621,Oregon,0,Extended,Master,2011-01-03,Employed,Rural,Married,Offer1,Agent,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
683,EW33419,California,1,Basic,High School or Below,2011-01-19,Medical Leave,Suburban,Married,Offer2,Call Center,SUV,Medsize,1,0,Corporate Auto_L2,1,0,0
684,HX44948,Oregon,0,Basic,Bachelor,2011-01-28,Employed,Rural,Married,Offer3,Agent,Four-Door Car,Medsize,0,1,Special Auto_L2,0,0,1
685,DL36983,Oregon,0,Premium,High School or Below,2011-01-24,Employed,Suburban,Divorced,Offer1,Agent,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
686,XR87264,California,0,Premium,Bachelor,2011-01-08,Employed,Suburban,Married,Offer2,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
687,NN99001,Arizona,0,Extended,College,2011-02-23,Employed,Suburban,Married,Offer2,Web,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0
688,XV95530,Oregon,0,Basic,Bachelor,2011-01-16,Employed,Rural,Married,Offer4,Web,Two-Door Car,Large,0,1,Personal Auto_L3,0,1,0
689,OL97871,Oregon,0,Extended,Bachelor,2011-01-23,Employed,Urban,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
690,HQ23708,Arizona,0,Basic,Master,2011-01-31,Employed,Rural,Married,Offer4,Web,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
691,WR63188,Arizona,0,Basic,College,2011-01-16,Employed,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
692,NG82219,Oregon,1,Basic,Bachelor,2011-02-14,Employed,Urban,Married,Offer2,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
693,GB33195,Washington,0,Basic,High School or Below,2011-01-12,Unemployed,Suburban,Single,Offer4,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
694,RE46783,California,1,Premium,Bachelor,2011-01-28,Employed,Suburban,Single,Offer1,Branch,Two-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
695,RU94434,Oregon,1,Premium,High School or Below,2011-02-27,Employed,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
696,GI82355,Arizona,0,Basic,Bachelor,2011-01-02,Unemployed,Suburban,Married,Offer2,Web,Four-Door Car,Medsize,0,1,Corporate Auto_L1,1,0,0
697,VO26340,Nevada,0,Extended,College,2011-01-02,Unemployed,Suburban,Single,Offer3,Agent,Two-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
698,NV61299,Arizona,1,Extended,Bachelor,2011-01-20,Employed,Urban,Divorced,Offer2,Web,Four-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
699,PT64580,Washington,0,Basic,Master,2011-01-29,Employed,Rural,Married,Offer2,Agent,SUV,Medsize,0,1,Personal Auto_L1,0,1,0
700,CY50337,Oregon,0,Extended,College,2011-01-11,Employed,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
701,TJ20375,Arizona,0,Basic,High School or Below,2011-01-09,Employed,Suburban,Married,Offer2,Web,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
702,EP72155,California,1,Basic,College,2011-02-22,Unemployed,Suburban,Divorced,Offer1,Branch,Four-Door Car,Small,1,0,Personal Auto_L3,0,1,0
703,JJ76159,California,0,Basic,College,2011-01-15,Employed,Rural,Divorced,Offer2,Web,Four-Door Car,Large,0,1,Corporate Auto_L3,1,0,0
704,BG15419,Nevada,0,Basic,Bachelor,2011-02-12,Employed,Rural,Married,Offer1,Agent,Sports Car,Large,1,0,Personal Auto_L3,0,1,0
705,AO74776,California,0,Basic,High School or Below,2011-01-21,Employed,Suburban,Married,Offer3,Agent,SUV,Large,1,0,Personal Auto_L3,0,1,0
706,HQ82233,California,0,Basic,High School or Below,2011-02-27,Employed,Urban,Married,Offer3,Call Center,SUV,Medsize,0,1,Personal Auto_L3,0,1,0
707,OL72737,Oregon,0,Extended,High School or Below,2011-02-04,Employed,Urban,Married,Offer4,Agent,Two-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
708,ZQ59828,California,0,Basic,High School or Below,2011-01-17,Employed,Rural,Married,Offer2,Agent,SUV,Medsize,0,1,Personal Auto_L3,0,1,0
709,NZ15548,Oregon,0,Premium,Bachelor,2011-01-10,Employed,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
710,XK61304,California,0,Basic,College,2011-02-19,Medical Leave,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
711,EJ44139,Oregon,1,Basic,Bachelor,2011-01-03,Unemployed,Suburban,Married,Offer2,Agent,Two-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
712,CM94425,Arizona,0,Basic,Bachelor,2011-01-26,Employed,Urban,Divorced,Offer3,Branch,SUV,Medsize,0,1,Personal Auto_L3,0,1,0
713,OV54878,California,0,Premium,Bachelor,2011-02-28,Unemployed,Suburban,Single,Offer4,Web,SUV,Medsize,0,1,Corporate Auto_L2,1,0,0
714,JF57282,Nevada,0,Extended,Bachelor,2011-01-13,Unemployed,Suburban,Married,Offer2,Branch,SUV,Small,0,1,Personal Auto_L2,0,1,0
715,MY37953,Arizona,0,Basic,Bachelor,2011-01-31,Employed,Rural,Married,Offer3,Web,Sports Car,Medsize,1,0,Personal Auto_L2,0,1,0
716,XP64922,Oregon,0,Basic,College,2011-02-16,Employed,Rural,Married,Offer4,Agent,Four-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
717,WL65572,California,0,Basic,College,2011-01-08,Unemployed,Suburban,Single,Offer2,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
718,LN50325,Arizona,0,Extended,High School or Below,2011-02-03,Employed,Suburban,Married,Offer3,Branch,Sports Car,Medsize,1,0,Corporate Auto_L3,1,0,0
719,MP53505,Washington,0,Extended,High School or Below,2011-02-11,Employed,Rural,Married,Offer4,Agent,Sports Car,Medsize,1,0,Corporate Auto_L3,1,0,0
720,KH59823,California,0,Extended,College,2011-01-10,Employed,Suburban,Divorced,Offer1,Branch,SUV,Medsize,0,1,Special Auto_L2,0,0,1
721,YM79169,California,0,Basic,Bachelor,2011-02-23,Disabled,Rural,Married,Offer3,Agent,Two-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
722,DR38127,California,0,Premium,College,2011-01-10,Employed,Suburban,Single,Offer1,Branch,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0
723,PU42145,California,1,Basic,Bachelor,2011-01-26,Medical Leave,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
724,KM33477,Oregon,0,Basic,College,2011-02-06,Employed,Suburban,Single,Offer2,Web,Four-Door Car,Medsize,0,1,Corporate Auto_L2,1,0,0
725,RI53167,Arizona,0,Basic,Bachelor,2011-01-20,Medical Leave,Suburban,Married,Offer2,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
726,OF77789,Arizona,1,Basic,High School or Below,2011-02-03,Disabled,Suburban,Single,Offer1,Web,Two-Door Car,Small,1,0,Personal Auto_L3,0,1,0
727,YB33445,Oregon,0,Basic,College,2011-02-13,Employed,Rural,Married,Offer1,Call Center,SUV,Medsize,1,0,Corporate Auto_L1,1,0,0
728,BA17836,California,0,Basic,High School or Below,2011-01-17,Employed,Rural,Single,Offer1,Agent,Four-Door Car,Medsize,0,1,Corporate Auto_L3,1,0,0
729,JS43228,California,0,Extended,College,2011-02-09,Employed,Suburban,Married,Offer4,Branch,Four-Door Car,Small,0,1,Corporate Auto_L3,1,0,0
730,BB11622,Nevada,0,Extended,Master,2011-01-02,Employed,Rural,Married,Offer1,Agent,SUV,Small,0,1,Personal Auto_L3,0,1,0
731,UG79499,Washington,0,Extended,Bachelor,2011-02-26,Employed,Rural,Divorced,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
732,WK88044,Arizona,0,Basic,Bachelor,2011-02-13,Employed,Rural,Married,Offer1,Agent,SUV,Medsize,0,1,Personal Auto_L3,0,1,0
733,LA80525,Nevada,0,Extended,Bachelor,2011-02-22,Unemployed,Suburban,Divorced,Offer1,Branch,Two-Door Car,Large,0,1,Corporate Auto_L3,1,0,0
734,EH16250,Arizona,0,Basic,Bachelor,2011-02-26,Employed,Suburban,Single,Offer3,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
735,PU41872,Arizona,0,Extended,High School or Below,2011-02-12,Employed,Rural,Married,Offer4,Call Center,Four-Door Car,Medsize,1,0,Personal Auto_L1,0,1,0
736,HB85743,California,1,Basic,Bachelor,2011-01-21,Employed,Rural,Married,Offer2,Agent,SUV,Medsize,0,1,Personal Auto_L1,0,1,0
737,MM71959,Arizona,0,Basic,Bachelor,2011-02-05,Employed,Suburban,Divorced,Offer3,Branch,Sports Car,Large,0,1,Personal Auto_L3,0,1,0
738,MB83663,Oregon,0,Extended,Bachelor,2011-02-18,Employed,Suburban,Divorced,Offer1,Call Center,Two-Door Car,Small,1,0,Personal Auto_L3,0,1,0
739,KR43119,California,0,Basic,College,2011-01-17,Unemployed,Suburban,Single,Offer1,Call Center,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
740,KH24214,Oregon,0,Basic,College,2011-02-13,Employed,Suburban,Married,Offer3,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
741,HD95276,Washington,0,Extended,College,2011-02-03,Unemployed,Rural,Married,Offer3,Branch,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
742,HP55391,Oregon,0,Basic,Master,2011-01-01,Unemployed,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,0,1,Corporate Auto_L3,1,0,0
743,EG62398,California,0,Basic,High School or Below,2011-02-19,Employed,Suburban,Married,Offer2,Branch,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
744,VS19949,Nevada,0,Basic,Bachelor,2011-02-25,Employed,Suburban,Married,Offer3,Web,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
745,AM92343,Oregon,0,Extended,High School or Below,2011-02-19,Employed,Urban,Married,Offer3,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
746,GI68556,California,0,Basic,Bachelor,2011-02-16,Employed,Rural,Married,Offer3,Web,Two-Door Car,Medsize,1,0,Personal Auto_L2,0,1,0
747,JT11876,Washington,0,Basic,High School or Below,2011-02-13,Unemployed,Suburban,Single,Offer2,Branch,Four-Door Car,Small,1,0,Personal Auto_L1,0,1,0
